,STATION CODE,LOCATIONS,STATE,Temp,DO,PH,Conductivity,BOD,NI,Fec_col,Tot_col,year,WQI,WQI clf
34,2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",Maharashtra,25.0,5.6,7.9,468.0,3.6,1.9,66.0,164.0,2014.0,92.59439942028988,1
35,1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",Maharashtra,25.0,6.4,7.6,541.0,5.7,0.6,23.0,45.0,2014.0,101.02435043478262,1
36,2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),Maharashtra,25.0,5.5,7.4,6166.0,7.7,1.1,44.0,67.0,2014.0,121.34723971014493,1
37,2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",Maharashtra,25.1,6.7,7.6,83.0,4.8,0.2,28.0,76.0,2014.0,91.58711623188405,1
38,2168,MITHI RIVER,Maharashtra,26.1,3.6,7.4,4424.0,31.3,2.2,276.0,474.0,2014.0,344.3488585507247,1
39,2676,"MUCHKUNDI RIVER AT  WAKED,RATNAGIRI, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",Maharashtra,21.4,7.2,7.7,226.0,3.1,0.8,233.0,130.0,2014.0,80.50872144927537,1
40,1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",Maharashtra,27.4,5.9,7.4,268.0,6.4,0.4,37.0,68.0,2014.0,106.38671855072465,1
41,1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",Maharashtra,27.1,5.4,7.5,2413.0,7.4,1.5,59.0,116.0,2014.0,120.46908,1
42,2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",Maharashtra,27.2,5.8,7.3,384.0,5.4,0.6,37.0,78.0,2014.0,96.32939217391306,1
43,2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",Maharashtra,27.3,5.9,7.4,269.0,5.1,1.2,34.0,60.0,2014.0,94.89874521739132,1
